Altium Designer Pick and Place Locations
D:\Embeddronics\Freelancing\PCB Designs\Conexio_Technologies\Conexio Stratus Pro nRF9151 V1.2\Altium Design Files\Project Outputs for Conexio Stratus Pro\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       18/10/24
Time:       08:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","2.2k","TopLayer","SMD-0603-RES","99.0600","66.0400","270","RES SMD 2.2K OHM 1% 1/10W 0603"
"FB4","BLM21AG102SN1D","TopLayer","FP-BLM21-0_2-t0_85-e0_5-MFG","83.8200","81.7880","180","Chip Ferrite Bead, 0805, 1000O @ 100MHz, 0.27O, 25%, 600mA"
"FB3","BLM21AG102SN1D","TopLayer","FP-BLM21-0_2-t0_85-e0_5-MFG","78.2630","75.3770","270","Chip Ferrite Bead, 0805, 1000O @ 100MHz, 0.27O, 25%, 600mA"
"FB2","BLM21AG102SN1D","TopLayer","FP-BLM21-0_2-t0_85-e0_5-MFG","97.7310","75.4540","0","Chip Ferrite Bead, 0805, 1000O @ 100MHz, 0.27O, 25%, 600mA"
"C6","1nF","TopLayer","SMD-0603C","92.2700","76.0890","180","CAP CER 1000PF 50V X7R 0603"
"C5","1nF","TopLayer","SMD-0603C","93.4130","76.0890","180","CAP CER 1000PF 50V X7R 0603"
"C4","1nF","TopLayer","SMD-0603C","82.1111","72.5410","270","CAP CER 1000PF 50V X7R 0603"
"C14","10µF","TopLayer","CAPC1608X06L","80.6450","82.0420","0","Capacitor, X5R, ±20%"
"C13","10µF","TopLayer","CAPC1608X06L","83.9470","79.2480","0","Capacitor, X5R, ±20%"
"C12","10µF","TopLayer","CAPC1608X06L","76.8660","75.3770","270","Capacitor, X5R, ±20%"
"C10","10µF","TopLayer","CAPC1608X06L","99.6687","76.0973","270","Capacitor, X5R, ±20%"
"C11","10µF","TopLayer","CAPC1608X06L","79.6600","75.3770","90","Capacitor, X5R, ±20%"
"M1","nRF9151","TopLayer","LGA50P1210X1110X130-113N","110.5749","73.1186","270","Low power System-in-Package with integrated LTE-M/NB-IoT modem and GPS"
"S2","TS-1088-AR02016","TopLayer","TS1088AR02016","79.5992","79.8104","180","Switch"
"P2","Header 20","BottomLayer","HDR1X20","97.1445","63.3417","0","Header, 20-Pin"
"P1","Header 16","BottomLayer","HDR1X16","102.2245","83.6617","0","Header, 16-Pin"
"J5","YTC-TC16S-26","TopLayer","USB-C-SMD_YTC-TC16S-26-A","64.4000","73.5450","270","5A 1 Surface Mount,Right Angle 16P Female -20?~+85? Type-C SMD USB Connectors ROHS"
"J4","SMN-304","BottomLayer","SMN-304","79.8830","73.4150","90",""
"C66","100nF","TopLayer","CAPC0603X03L_C","97.2625","70.1490","90","Capacitor, X6S, ±10%, 16V"
"C65","0.10µF","TopLayer","SMD-0603C","94.9960","80.3910","0","CAP CER 0.1UF 50V X7R 0603"
"Fid1","Fiducial mark","TopLayer","Fiducial","64.3000","83.4450","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","120.3960","67.4370","180","Fiducial Mark"
"LED4","XL-1608UWC-04","TopLayer","LED_0603_G","77.6954","82.0492","0","XL-1608UWC-04"
"U5","NPM1300-QEAA-R7","TopLayer","Nordic_QFN50P500X500X90-33N","87.7570","76.1300","0","Battery Power Management IC Lithium Ion/Polymer 32-QFN (5x5)"
"C47","2.2µF","TopLayer","SMD-0603C","86.6892","72.6033","270","CAP CER 2.2UF 25V X7S 0603"
"C46","10µF","TopLayer","CAPC1608X06L","83.9470","80.3910","0","Capacitor, X5R, ±20%"
"R30","100k","TopLayer","SMD-0603-RES","119.7610","75.5650","0","RES SMD 100K OHM 1% 1/10W 0603"
"R29","47k","TopLayer","RESC0603X03L_C","90.9396","72.8816","270","Resistor, ±1%, 0.05W"
"R31","100k","TopLayer","SMD-0603-RES","69.4250","69.6200","90","RES SMD 100K OHM 1% 1/10W 0603"
"C42","10µF","TopLayer","CAPC1608X06L","95.6803","76.0987","270","Capacitor, X5R, ±20%"
"C40","10µF","TopLayer","CAPC1608X06L","82.0966","73.6486","0","Capacitor, X5R, ±20%"
"C43","1.0µF","TopLayer","CAPC1608X06L","92.1142","79.0495","270","Capacitor, Ceramic, 1.0µF 10V X5R 0603,±10%"
"C44","2.2µF","TopLayer","CAPC1608X06L","92.1430","73.4220","90","Capacitor, Ceramic, X7R, ±10%, 16V"
"L6","2.2µH","TopLayer","INDC2016X10N","82.5500","75.8190","270","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"L7","2.2µH","TopLayer","INDC2016X10N","86.9049","80.1298","0","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"C39","1.0µF","TopLayer","CAPC1608X06L","93.2892","79.0495","270","Capacitor, Ceramic, 1.0µF 10V X5R 0603,±10%"
"C41","10µF","TopLayer","CAPC1608X06L","94.5306","76.0890","270","Capacitor, X5R, ±20%"
"C45","10µF","TopLayer","CAPC1608X06L","80.8030","75.3770","90","Capacitor, X5R, ±20%"
"C64","1.0nF","TopLayer","CAPC0603X03L_C","121.2750","76.4200","180","Capacitor, X7R, ±10%, 25V"
